,label,text
2733,ham,How dare you stupid. I wont tell anything to you. Hear after i wont talk to you:-.
2157,ham,Hey cutie. How goes it? Here in WALES its kinda ok. There is like hills and shit but i still avent killed myself. 
3315,ham,Oh gei. That happend to me in tron. Maybe ill dl it in 3d when its out
5327,ham,Wishing you a wonderful week.
292,ham,Haf u found him? I feel so stupid da v cam was working.
2101,ham,Oh Howda gud gud.. Mathe en samachara chikku:-)
567,ham,Oooh bed ridden ey? What are YOU thinking of?
2793,ham,Well there's still a bit left if you guys want to tonight
3113,ham,Just haven't decided where yet eh ?
1503,ham,Don no da:)whats you plan?
634,ham,Got it. Seventeen pounds for seven hundred ml – hope ok.
819,ham,Then why you not responding
2600,ham,"Gosh that , what a pain. Spose I better come then."
4005,ham,Well there's a pattern emerging of my friends telling me to drive up and come smoke with them and then telling me that I'm a weed fiend/make them smoke too much/impede their doing other things so you see how I'm hesitant
2758,ham,Yo we are watching a movie on netflix
3039,ham,You are not bothering me but you have to trust my answers. Pls.
3964,ham,If you ask her or she say any please message.
2505,ham,"Hello, my boytoy! I made it home and my constant thought is of you, my love. I hope your having a nice visit but I can't wait till you come home to me ...*kiss*"
997,ham,Yetunde i'm in class can you not run water on it to make it ok. Pls now.
111,ham,What is the plural of the noun research?
5018,spam,Dear 0776xxxxxxx U've been invited to XCHAT. This is our final attempt to contact u! Txt CHAT to 86688 150p/MsgrcvdHG/Suite342/2Lands/Row/W1J6HL LDN 18yrs
152,ham,Yup i thk cine is better cos no need 2 go down 2 plaza mah.
160,spam,You are a winner U have been specially selected 2 receive £1000 cash or a 4* holiday (flights inc) speak to a live operator 2 claim 0871277810810
5147,spam,Get your garden ready for summer with a FREE selection of summer bulbs and seeds worth £33:50 only with The Scotsman this Saturday. To stop go2 notxt.co.uk
5129,ham,"Rose for red,red for blood,blood for heart,heart for u. But u for me.... Send tis to all ur friends.. Including me.. If u like me.. If u get back, 1-u r poor in relation! 2-u need some 1 to support 3-u r frnd 2 many 4-some1 luvs u 5+- some1 is praying god to marry u.:-) try it...."
1647,ham,Thts wat Wright Brother did to fly..
4079,ham,Gam gone after outstanding innings.
3143,ham,Not planned yet :)going to join company on jan 5 only.don know what will happen after that.
618,ham,For my family happiness..
5415,ham,You should get more chicken broth if you want ramen unless there's some I don't know about
147,spam,"FreeMsg Why haven't you replied to my text? I'm Randy, sexy, female and live local. Luv to hear from u. Netcollex Ltd 08700621170150p per msg reply Stop to end"
4888,spam,Todays Vodafone numbers ending with 4882 are selected to a receive a £350 award. If your number matches call 09064019014 to receive your £350 award.
3366,ham,"Sorry, I'll call later"
3747,ham,I'm not. She lip synced with shangela.
398,ham,"You are always putting your business out there. You put pictures of your ass on facebook. You are one of the most open people i've ever met. Why would i think a picture of your room would hurt you, make you feel violated."
1754,ham,Jus came back fr lunch wif my sis only. U leh?
4580,ham,No plans yet. What are you doing ?
2753,ham,Sat right? Okay thanks... 
1223,ham,Teach me apps da. When you come to college.
2933,ham,Only 2% students solved this CAT question in 'xam... 5+3+2= &lt;#&gt;  9+2+4= &lt;#&gt;  8+6+3= &lt;#&gt;  then 7+2+5=????? Tell me the answer if u r brilliant...1thing.i got d answr.
2016,ham,Just re read it and I have no shame but tell me how he takes it and if he runs I will blame u 4 ever!! Not really 4 ever just a long time 
4920,ham,Re your call; You didn't see my facebook huh?
2836,ham,"Ya they are well and fine., BBD(pooja) full pimples..even she become quite black..and ur rite here its too cold, wearing sweatter.."
1446,ham,I am in a marriage function
4788,ham,Ü thk of wat to eat tonight.
3486,ham,No:-)i got rumour that you going to buy apartment in chennai:-)
4096,ham,I ain't answerin no phone at what is actually a pretty reasonable hour but I'm sleepy
3246,ham,"Its ok, if anybody asks abt me, u tel them..:-P"
5231,ham,I realise you are a busy guy and i'm trying not to be a bother. I have to get some exams outta the way and then try the cars. Do have a gr8 day
1635,spam,"Eerie Nokia tones 4u, rply TONE TITLE to 8007 eg TONE DRACULA to 8007 Titles: GHOST, ADDAMSFA, MUNSTERS, EXORCIST, TWILIGHT www.getzed.co.uk POBox36504W45WQ 150p"
1178,ham,Just nw i came to hme da..
325,ham,No problem. How are you doing?
645,ham,Allo! We have braved the buses and taken on the trains and triumphed. I mean we‘re in b‘ham. Have a jolly good rest of week
5172,ham,"Aight, text me tonight and we'll see what's up"
1793,spam,"WIN: We have a winner! Mr. T. Foley won an iPod! More exciting prizes soon, so keep an eye on ur mobile or visit www.win-82050.co.uk"
4709,ham,"Did you say bold, then torch later. Or one torch and 2bold?"
2832,ham,Thanx 4 sending me home...
1893,spam,CALL 09090900040 & LISTEN TO EXTREME DIRTY LIVE CHAT GOING ON IN THE OFFICE RIGHT NOW TOTAL PRIVACY NO ONE KNOWS YOUR [sic] LISTENING 60P MIN 24/7MP 0870753331018+
3851,ham,I to am looking forward to all the sex cuddling.. Only two more sleeps 
3455,ham,I dont have any of your file in my bag..i was in work when you called me.i 'll tell you if i find anything in my room.
1089,spam,You are awarded a SiPix Digital Camera! call 09061221061 from landline. Delivery within 28days. T Cs Box177. M221BP. 2yr warranty. 150ppm. 16 . p p£3.99
3996,ham,R u in this continent?
1944,ham,I got lousy sleep. I kept waking up every 2 hours to see if my cat wanted to come in. I worry about him when its cold :(
4606,ham,"I need an 8th but I'm off campus atm, could I pick up in an hour or two?"
2284,ham,I reach home safe n sound liao...
4679,ham,It is a good thing I'm now getting the connection to bw
1320,ham,Correct. So how was work today
4564,ham,"Come around  &lt;DECIMAL&gt; pm vikky..i'm otside nw, il come by tht time"
5390,ham,Nt joking seriously i told
490,ham,I think i've fixed it can you send a test message?
3359,ham,I don't run away frm u... I walk slowly &amp; it kills me that u don't care enough to stop me...
3955,ham,I probably won't eat at all today. I think I'm gonna pop. How was your weekend? Did u miss me?
1941,ham,Dude avatar 3d was imp. At one point i thought there were actually flies in the room and almost tried hittng one as a reflex
850,spam,"Today's Offer! Claim ur £150 worth of discount vouchers! Text YES to 85023 now! SavaMob, member offers mobile! T Cs 08717898035. £3.00 Sub. 16 . Unsub reply X"
2951,ham,Where are you ? You said you would be here when I woke ... :-(
1833,ham,What time is ur flight tmr?
5477,ham,What Today-sunday..sunday is holiday..so no work..
1845,ham,Da is good good player.why he is unsold.
781,ham,Your opinion about me? 1. Over 2. Jada 3. Kusruthi 4. Lovable 5. Silent 6. Spl character 7. Not matured 8. Stylish 9. Simple Pls reply..
4790,ham,We're on the opposite side from where we dropped you off
299,ham,I cant pick the phone right now. Pls send a message
584,ham,my ex-wife was not able to have kids. Do you want kids one day?
240,spam,U 447801259231 have a secret admirer who is looking 2 make contact with U-find out who they R*reveal who thinks UR so special-call on 09058094597
3097,ham,We walked from my moms. Right on stagwood pass right on winterstone left on victors hill. Address is &lt;#&gt;
3677,ham,Hey r ü still online? I've finished the formatting...
5347,ham,No sir. That's why i had an 8-hr trip on the bus last week. Have another audition next wednesday but i think i might drive this time.
4077,spam,87077: Kick off a new season with 2wks FREE goals & news to ur mobile! Txt ur club name to 87077 eg VILLA to 87077
1072,spam,URGENT! We are trying to contact U. Todays draw shows that you have won a £800 prize GUARANTEED. Call 09050003091 from land line. Claim C52. Valid12hrs only
4906,spam,Warner Village 83118 C Colin Farrell in SWAT this wkend @Warner Village & get 1 free med. Popcorn!Just show msg+ticket@kiosk.Valid 4-7/12. C t&c @kiosk. Reply SONY 4 mre film offers
1079,ham,Convey my regards to him
261,ham,Yup
1600,ham,"Yeah probably, I still gotta check out with leo"
4847,ham,Pls help me tell Ashley that i cant find her number oh
89,ham,"Ela kano.,il download, come wen ur free.."
2602,ham,Okie
1674,spam,Monthly password for wap. mobsi.com is 391784. Use your wap phone not PC.
3445,ham,Yes but I don't care cause I know its there!
5253,ham,Please tell me not all of my car keys are in your purse
5270,ham,Did u fix the teeth?if not do it asap.ok take care.
4893,ham,Miserable. They don't tell u that the side effects of birth control are massive gut wrenching cramps for the first 2 months. I didn't sleep at all last night.
1921,ham,Dont know you bring some food
661,ham,"Under the sea, there lays a rock. In the rock, there is an envelope. In the envelope, there is a paper. On the paper, there are 3 words... '"
1836,ham,* Will be september by then!
4511,ham,This weekend is fine (an excuse not to do too much decorating)
4341,ham,I want to sent  &lt;#&gt; mesages today. Thats y. Sorry if i hurts
2718,ham,Okie.. Thanx..
822,ham,On the road so cant txt
4141,ham,Leave it wif me lar... Ü wan to carry meh so heavy... Is da num 98321561 familiar to ü?
2130,ham,Mine here like all fr china then so noisy.
3514,ham,Staff of placement training in Amrita college.
1928,ham,Omg it could snow here tonite!
1483,ham,Ok...
1878,ham,This pen thing is beyond a joke. Wont a Biro do? Don't do a masters as can't do this ever again! 
5177,ham,"Very strange.  and  are watching the 2nd one now but i'm in bed. Sweet dreams, miss u "
4461,ham,This is wishing you a great day. Moji told me about your offer and as always i was speechless. You offer so easily to go to great lengths on my behalf and its stunning. My exam is next friday. After that i will keep in touch more. Sorry.
4506,spam,Mobile Club: Choose any of the top quality items for your mobile. 7cfca1a
47,ham,"Fair enough, anything going on?"
3679,spam,Promotion Number: 8714714 - UR awarded a City Break and could WIN a £200 Summer Shopping spree every WK. Txt STORE to 88039 . SkilGme. TsCs087147403231Winawk!Age16 £1.50perWKsub
1934,ham,R u over scratching it?
191,spam,Are you unique enough? Find out from 30th August. www.areyouunique.co.uk
5548,ham,"No, I was trying it all weekend ;V"
2636,ham,Tiwary to rcb.battle between bang and kochi.
631,ham,Please dont say like that. Hi hi hi
4311,spam,Someone U know has asked our dating service 2 contact you! Cant Guess who? CALL 09058091854 NOW all will be revealed. PO BOX385 M6 6WU
4811,ham,"Honey, can you pls find out how much they sell Predicte in Nigeria. And how many times can it be used. Its very important to have a reply before monday"
3073,ham,Ok lor... But buy wat?
257,ham,Mmm so yummy babe ... Nice jolt to the suzy
654,ham,Fine i miss you very much.
677,ham,Maybe?! Say hi to  and find out if  got his card. Great escape or wetherspoons? 
1466,spam,"YOU 07801543489 are guaranteed the latests Nokia Phone, a 40GB iPod MP3 player or a £500 prize! Txt word:COLLECT to No:83355! TC-LLC NY-USA 150p/Mt msgrcvd18+"
542,ham,"A famous quote : when you develop the ability to listen to 'anything' unconditionally without losing your temper or self confidence, it means you are ......... 'MARRIED'"
1462,ham,Kinda. First one gets in at twelve! Aah. Speak tomo
5066,ham,But your brother transfered only  &lt;#&gt;  +  &lt;#&gt; . Pa.
3250,ham,"Sorry, I can't help you on this."
3449,ham,Its  &lt;#&gt; k here oh. Should i send home for sale.
2255,ham,Ok. Me watching tv too.
4367,ham,Mm yes dear look how i am hugging you both. :-P
4829,ham,Lol no. Just trying to make your day a little more interesting
3134,ham,So no messages. Had food?
1251,ham,Ummmmmaah Many many happy returns of d day my dear sweet heart.. HAPPY BIRTHDAY dear
1271,ham,"Sorry chikku, my cell got some problem thts y i was nt able to reply u or msg u.."
836,ham,Good Morning my Dear........... Have a great &amp; successful day.
3277,ham,Lol your right. What diet? Everyday I cheat anyway. I'm meant to be a fatty :(
4151,ham,I only work from mon to thurs but Sat i cant leh... Booked liao... Which other day u free?
5107,ham,I REALLY NEED 2 KISS U I MISS U MY BABY FROM UR BABY 4EVA
3226,ham,I need... Coz i never go before 
3691,ham,What happen dear tell me
3740,ham,Did you stitch his trouser
1511,ham,"Pete,is this your phone still? Its Jenny from college and Leanne.what are you up to now?:)"
1919,ham,Is fujitsu s series lifebook good?
2563,ham,"Yeah I am, so I'll leave maybe 7ish?"
5247,ham,Gud ni8 dear..slp well..take care..swt dreams..Muah..
1933,ham,Jus finished avatar nigro
1519,ham,Shall i ask one thing if you dont mistake me.
664,ham,Leave it de:-). Start Prepare for next:-)..
2142,ham,Alright took the morphine. Back in yo.
2183,ham,PS U no ur a grown up now right?
5334,ham,"Garbage bags, eggs, jam, bread, hannaford wheat chex"
3592,ham,How much would it cost to hire a hitman
568,ham,"So anyways, you can just go to your gym or whatever, my love *smiles* I hope your ok and having a good day babe ... I miss you so much already"
1843,ham,Are you comingdown later?
404,ham,None of that's happening til you get here though
